Motion Through Fluids Experiment Thu, Feb 15, 2024 11:30 AM
Time(sec)	Position(mm)
0.039	1.146
0.089	1.581
0.139	2.446
0.189	3.128
0.239	2.904
0.289	5.071
0.339	25.923
0.389	31.175
0.439	37.233
0.489	43.671
0.539	50.076
0.589	56.448
0.639	62.587
0.689	68.495
0.739	74.782
0.789	81.044
0.839	87.684
0.889	94.500
0.939	101.293
0.989	108.066
1.039	115.217
1.089	122.153
1.139	129.274
1.189	136.382
1.239	143.282
1.289	150.372
1.339	157.457
1.389	164.735
1.439	171.813
1.489	178.895
1.539	186.176
1.589	193.464
1.639	200.959
1.689	208.267
1.739	215.787
1.789	223.326
1.839	230.885
1.889	238.469
1.939	246.080
1.989	253.722
2.039	261.399
2.089	269.113
2.139	276.869
2.189	284.671
